Project Name	Stack	Done By	Date	Image Name	Description
ACE CHAT BOT	Django, Python, HTML/CSS/JS, Jquery	Ashish Pahwa, Srijit S Madhavan		acb.png,acb2.png	It is an interactive chat bot developed by our core team to handle queries related to functioning of the society. Initially it was trained on whatsapp group chat history and later focus was shifted transform into an expert system. It uses Edit Distance Algorithm for fast retrieval of accurate response based on user’s query sentence.
MINI CLIENT CHAT	Go, Socket, HTML/CSS/JS	Gaurav Gogia, Srijit S Madhavan		mcc.png,mcc2.png	It is a simple, real-time end to end encrypted web chat application optimized for having confidential conversations. URL : https://miniclientchat.azurewebsites.net
VIPS LOST AND FOUND	PHP, HTML/CSS/JS, JQuery	Srijit S Madhavan, Aditya Dhawan		lostandfound.png,lostandfound2.png	It is a lost and found Portal for students of VIPS. Students cIt is a lost and found Portal for students of VIPS. Students can report information about   any item that they’ve lost in the VIPS campus or if they found someone’s lost item.   URL : http://vipslostfound.esy.es/an report information about
ACE LIBRARY PORTAL	Django, Python, HTML/CSS/JS, Jquery, Semantic-UI	Ashish Pahwa, Srijit S Madhavan, Sameer Kumar, Khushi Jain			It is a web application where anyone can discuss on projects, get computer science educational resources for free. Members of society can view their contributions to the society and check their meeting(s) and event(s) attendance. It helps us track how active each individual member is in the society. The project was open sourced in December 2016 under MIT Open Source license. URL : http://www.aceportal.tech/
DOWNLOAD ANY SONG	Django, Python, HTML/CSS/JS, Jquery	Sameer Kumar, Srijit S Madhavan		das.png	A multiplatform application with best in class UX to download almost any song just by entering the name of the song followed by artist name.The user can listen to the 30 sec preview of the song. On pressing the “Download Now” button, the .mp3 file starts downloading. DownloadAnySong was featured by popular social media pages. It is the most famous and successful ACE project. URL : https://www.downloadanysong.com
CSI - SSC VIPS 2017	Django, Python, HTML/CSS/JS, Jquery	Ashish Pahwa, Srijit S Madhavan		csissc.png,csissc2.png,csissc3.png	This web application was developed by our core team to manage and control registration processes and information for State Students’ Convention 2017 sponsored by Computer Society of India. The application also featured automatic report generation and event summarization system using the data generated about the participants. We hosted it on our dedicated server in Mumbai region.
BALANCE LITE	Android, Java	Sanil Khurana		bal.png,bal2.png	An android game in which the user tries to balance a bar and avoid obstacles. Developed by Sanil Khurana URL : https://play.google.com/store/apps/details?id=com.sanilk.balance_lite
MATRIX - A Segment Analysis and Visualization Toolkit	Django, Python, HTML/CSS/JS, Jquery	Ashish Pahwa, Srijit S Madhavan		matrix.png	Market segmentation is one of the most fundamental strategic marketing concepts. Grouping people (with the willingness, purchasing power, and the authority to buy) according to their similarity in several dimensions related to a product under consideration. This application performs user behavior analysis based on click patterns and cluster the similar users together using Kmode clustering algorithm. It also provides visual information about the geographical distribution of users and comparison of products performance in digital marketplace in terms of number of clicks.
AZTRO API	Flask, Python, RestAPI	Sameer Kumar		aztro.png	aztro is a REST API made in Python that provides you with daily horoscope (today,   tomorrow and yesterday). It provides horoscope info for sun signs such as Lucky Number,   Lucky Color, Mood, Color, Compatibility with other sun signs, description of a sign for that   day etc. Documentation was also written for this API.   URL : https://aztro.readthedocs.io
AMBEU	PHP, Mysql, HTML/CSS/JS, Bootstrap	Srijit S Madhavan, Sameer Kumar, Shreyans Jain		ambeu.png,ambeu2.png	A smart progressive web app(PWA) to book ambulance in emergenA smart progressive web app(PWA) to book ambulance in emergency cases. It tracks daily   health condition of the user. It can also call ambulance when the health of the user get   serious.cy cases. It tracks daily
FLOOD SAYAT	Flask, Python, HTML/CSS/JS, Jquery	Sameer Kumar, Srijit S Madhavan		floodsayat.png	Sayat.me is Anonymous Feedback Tool. FloodSayat.me allows you to flood users with N number of feedbacks. URL : http://www.floodsayat.com/
HEALTHIFY	C#, XAML	Gaurav Gogia		healthify.png	A smart Universal WindowsA smart Universal Windows   Platform (UWP) application for   Doctors, Clinics, Hospitals and   Patients. Sharing information on a   central database(encrypted), while   maintaining Patient-Doctor   confidentiality.
VIPS ECELL	HTML/CSS/JS, Jquery, Semantic-UI	Srijit S Madhavan		edc-vips.png	A full fledged static website for Entrepreneur Development Cell of VIPS active each individual member is in the society. The project was open sourced in December 2016 under MIT Open Source license. URL : http://ecellvips.ml/
FUZE	Django, Python, HTML/CSS/JS, Jquery	Ashish Pahwa, Srijit S Madhavan, Sameer Kumar, Aditya Dhawan		fuze.png,fuze2.png	It is an interest based dating web app developed by our core team for learning purpose. It uses the combination of Jaccard Similarity and Pearson Correlation Score to compute the best match based on interest set of an individual.
GARBAGE OVERFLOW	Arduino, ReactJS, Python, Django, HTML/CSS	Sameer Kumar, Srijit S Madhavan		ipusearch.png	"Garbage Overflow" is about an automated waste management system with the help of IoT, sensors, Web API etc made at a 24 hour hackathon.It is a platform where authorities can maintain multiple garbage bins from one single app(PWA) through notifications/buzzer alarm whenever the bin's garbage collection level crosses a certain level. Also, the device measures moisture level and temperature level inside the bin. URL : http://www.hackathon.io/85817
IPU SEARCH	Flask, Python, HTML/CSS/JS, Jquery, Bootstrap	Sameer Kumar		ipusearch.png	IP University Result Search Engine. It is a dynamic website in which a student can find his/her result instantly anytime without having to download the large pdf file from the official website.The website also tells every student their university rank and top 25 university scorers. URL : https://ipusearch.herokuapp.com
LOVEDOCINE	HTML/CSS/JS, Jquery, Semantic-UI	Srijit S Madhavan		lovedocine.png	This static website was developed as a part of the challenge in NSIT’s Delhi Entrepreneurship Challenge. The purpose was to sell a hypothetical anti-friendzone pills online. URL : http://lovedoine.ml/
Bidgen	Django, NodeJS, Express, HTML/CSS/JS, Bootstrap	Ashish Pahwa, Srijit S Madhavan, Aditya Dhawan		Bidgen.png	The click fraud operation generates $3 to $5 million in fraudulent revenue every day. Marketers have lost around $7.2 billion to digital ad fraud in 2016. In fact, businesses lost $16.4 billion to ad fraud in the year 2017 alone. The project detects and eliminate malicious activities and characters from the digital marketing ecosystem to protect your brand and save you lots of money. The platform currently offers Geo-monitoring across all major search engines: - Detection of competitor and affiliate advertisment. - Custom Worldwide geo-targeted monitoring - Custom CronTab Schedule for every keyword - Hourly Reports
Gmail UI	Android, XML, Java	Manik Gupta, Mohak Gupta		GmailUIClone.png	This project was made as a part of Udacity challenge in Android development Scholarship.
BestCafes	Android, XML, Java	Manik Gupta, Mohak Gupta		best.png	This project was made as a part of Bob The Builder-App   Development Challenge at CPJ College Narela.   In this project Firebase is used as a backend, The main   idea of this project was to show top 10 cafes or restaurants   in 10 states of India.   Following details were shown about a particular cafe or   restaurant: -   • Cafe Name   • Cafe Image   • Cafe Description   • Cafe Location   • Cafe Cost
Data structures quiz	Android, XML, Java	Manik Gupta, Mohak Gupta		DS_Quiz Manik.png	In this application the users are asked 51 multiple choice   questions per round related to Data Structure. So, keep   playing with the quiz and strengthen your concepts of   Data structures.
Dig-Draw	Python, Tensorflow, Android, Java	Prateek Batra		Dig_Draw.png	This project demonstrates how to use TensorFlow   Mobile on Android for handwritten digits classification   from MNIST Database (Modified National Institute of   Standards and Technology Database).
NSC - Coordinator	Android, Java, XML, Firebase	Prateek Batra		nsc_app.webp	This Android app was developed by our core team to   manage and control event processes and information   for National Students’ Convention 2018. The application   also featured updated event status with ease and declare   winners after the event.
Market-X Project	Django, Python, HTML/CSS/JS, PWA	Ashish Pahwa, Srijit S Madhavan, Sameer Kumar, Khushi Jain		marketX.jpeg	Today Indian offline market is a black box.Purchasing habits of consumers cannot be tracked the same way as in case of online ecommerce stores. It understands demographics of population showing interest in various products in offline outlets and retail stores.
Anime Downloader - Idea Taking Shape	NodeJS, EJS	Chirag Jain			A website to easily find and download anime. A big fan site for anime lovers.
WatchAnyShow - Idea Taking Shape	ReactJS, NodeJS, HTML/JS/CSS	Chirag Jain, Sahil Kr Singh, Prateek Batra, Shreyans Jain, Srijit S Madhavan		was.png	The project allows to watch and download any show online with good UX/UI and without any advertisements or popups
Keepen	PHP, Mysql, HTML/CSS/JS, Bootstrap	Srijit S Madhavan		Keepen.jpg	The project capture what’s on your mind and you can add notes, lists and photos to Keepen, when and where ever you need it.
Pokemon Reborn	PHP, HTML/CSS/JS, JQuery	Chirag Jain		pok.png	A Pokemon Reborn is a web app game which allows user to conduct battle between two pokemons with multiple users
ML KitE	Tensorflow, Firebase, Android, Java	Prateek Batra		ML-Kite.png	It is an android app which retrives detailed text from any objects with help of camera
NSC Quiz App	ReactJS, PHP, HTML/JS/CSS	Chirag Jain, Sahil Kr Singh, Shreyans Jain		nscquiz.png	NSC Quiz App is the web application made with technologies like ReactJS, PhP and MySQL. It allows contestant to take preliminary round quiz in NSC - 2018.
HealthViz	Django, Python, HTML/CSS/JS, PWA	Ashish Pahwa, Srijit S Madhavan, Aayush Gupta, Sahil Kr Singh		healthviz.png	HealthViz is a disease spread visualization and analytical platform where we can track the spreading diseases in real-time and to control the disease at its earliest. It provides health benefits to patients. Government can use it in policy research and to understand dynamics of disease spread and factors causing it.
Classroom	Prototype with Adobe XD	Sahil Kr Singh		Classroom.png	Idea and prototype of android application that can be used by college students to study online by recording the lectures.
Live edge detection	Java	Diksha		led.jpg	A platform which helps to detects the edges of an object from the live feed.